35,35,12345678,12345678,Personal,Personal
31,31,"Add Image","Add Image",Professional,Professional
30,30,"Add Project","Add Project",School,School
48,48,"Add Projects","Add Projects",Personal,Personal
33,33,CaptureImage,CaptureImage,Professional,Professional
29,29,CSV_Testaus22,CSV_Testaus22,Professional,Professional
6,6,CSV_testi,CSV_testi,Professional,Professional
43,43,FileToUpload,FileToUpload,Professional,Professional
51,51,FileUpload,FileUpload,Personal,Personal
45,45,Kuvantestaaminen,Kuvantestaaminen,Personal,Personal
54,54,LastTest,LastTest,Personal,Personal
2,2,"Learn JavaScript","Learn JavaScript",School,School
52,52,NewFileUpload,NewFileUpload,Professional,Professional
58,58,NotepadTesti,NotepadTesti,Personal,Personal
55,55,Projektinlisäystestitesti,Projektinlisäystestitesti,School,School
47,47,ScreenCaptureImg,ScreenCaptureImg,Professional,Professional
46,46,ScreenshotTest,ScreenshotTest,School,School
57,57,Tekstitestaus,Tekstitestaus,Professional,Professional
40,40,TestiKuvat6789,TestiKuvat6789,Personal,Personal
44,44,TestImage,TestImage,Professional,Professional
4,4,Testiprojekti,Testiprojekti,Personal,Personal
23,23,testitestikkkk222,testitestikkkk222,School,School
22,22,Testi_kuva_png,Testi_kuva_png,School,School
41,41,testtesttesttest,testtesttesttest,Personal,Personal
27,27,Tiedoston_lisääminen,Tiedoston_lisääminen,School,School
36,36,TTTT,TTTT,School,School
14,14,Updaten_testi2,Updaten_testi2,Personal,Personal
13,13,Uploadin_testaus,Uploadin_testaus,Personal,Personal
26,26,UploadTestaus777,UploadTestaus777,Personal,Personal
15,15,Upload_testi_3_kuva,Upload_testi_3_kuva,Professional,Professional
